"Data Source","World Development Indicators",

"Last Updated Date","2016-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","179.683","447.374","612.389","649.059","1840.834","1928.842","1723.49","1771.161","1763.827","1782.162","1800.497","1837.167","1712.489","1749.159","2321.211","2357.881","2372.549","2416.553","2420.22","2497.227","2497.227","2592.569","2508.228","2522.896","2456.89","2438.555","","","","",
"Andorra","AND","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407.037","425.372","458.375","484.044","513.38","524.381","524.381","531.715","535.382","564.718","575.719","546.383","539.049","539.049","517.047","517.047","491.378","","","","",
"Afghanistan","AFG","CO2 emissions (kt)","EN.ATM.CO2E.KT","414.371","491.378","689.396","707.731","839.743","1008.425","1092.766","1283.45","1224.778","942.419","1672.152","1895.839","1532.806","1639.149","1917.841","2126.86","1987.514","2390.884","2159.863","2240.537","1760.16","1983.847","2101.191","2522.896","2830.924","3509.319","3142.619","3124.284","2867.594","2775.919","2676.91","2493.56","1426.463","1375.125","1320.12","1268.782","1199.109","1114.768","1056.096","832.409","781.071","645.392","894.748","1037.761","957.087","1338.455","1657.484","2280.874","4217.05","6776.616","8470.77","12251.447","","","","",
"Angola","AGO","CO2 emissions (kt)","EN.ATM.CO2E.KT","550.05","454.708","1180.774","1151.438","1224.778","1188.108","1554.808","993.757","1672.152","2786.92","3582.659","3410.31","4506.743","4880.777","4873.443","4415.068","3285.632","3534.988","5412.492","5504.167","5346.486","5280.48","4649.756","5115.465","5009.122","4701.094","4660.757","5815.862","5130.133","5009.122","4429.736","4367.397","4418.735","5801.194","3890.687","11012.001","10491.287","7381.671","7308.331","9156.499","9541.534","9732.218","12665.818","9064.824","18793.375","19156.408","22266.024","25151.953","27172.47","29361.669","29743.037","29710.034","","","","",
"Albania","ALB","CO2 emissions (kt)","EN.ATM.CO2E.KT","2024.184","2280.874","2464.224","2082.856","2016.85","2174.531","2552.232","2680.577","3072.946","3245.295","3744.007","4352.729","5643.513","5291.481","4345.395","4594.751","4950.45","5720.52","6494.257","7587.023","5170.47","7341.334","7308.331","7631.027","7825.378","7880.383","8056.399","7444.01","7326.666","8984.15","7488.014","3971.361","2387.217","2343.213","1928.842","2086.523","2016.85","1543.807","1752.826","2984.938","3021.608","3223.293","3751.341","4294.057","4165.712","4253.72","3865.018","4477.407","4657.09","4488.408","4415.068","4668.091","","","","",
"Arab World","ARB","CO2 emissions (kt)","EN.ATM.CO2E.KT","59563.9892169935","65151.0958106249","74357.7077270689","87895.9791576292","103196.281576983","123828.196879996","139079.150106116","149730.959074154","178805.03861786","213131.612521753","220575.399078328","250915.803258137","272872.77129632","318599.937431339","310921.2384785","307786.62619087","373496.028032987","395284.152786356","425910.856449111","456159.49797413","508779.874736983","497496.738703989","476949.245043382","508651.407020277","554903.455540695","587093.794841074","648475.669883289","649749.335531776","688649.360150409","699737.959355248","711039.447919201","749355.862053368","809684.301818593","886394.210716952","914334.103847451","876887.599680694","869025.276687132","836526.206759494","906453.79546541","920061.425397742","1045912.741","1029730.27","1050712.844","1138783.183","1254917.073","1318865.886","1375301.016","1374211.917","1472417.844","1577099.693","1680300.074","1704417.933","","","","",
"United Arab Emirates","ARE","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","11.001","18.335","22.002","18.335","22.002","25.669","916.75","1243.113","20524.199","15247.386","21184.259","23454.132","30630.451","31327.181","31070.491","39651.271","38785.859","44814.407","36607.661","36904.688","36857.017","36871.685","35342.546","46394.884","49926.205","47234.627","47693.002","48367.73","54487.953","52009.061","57010.849","58136.618","65980.331","73130.981","70641.088","41059.399","41646.119","81495.408","78374.791","112562.232","101414.552","84704.033","106841.712","113240.627","116148.558","123874.927","139404.672","158935.114","162602.114","167596.568","178483.891","","","","",
"Argentina","ARG","CO2 emissions (kt)","EN.ATM.CO2E.KT","48815.104","51180.319","53695.881","50083.886","55727.399","58866.351","63138.406","65543.958","69082.613","77329.696","82734.854","88939.418","90156.862","94065.884","95569.354","94931.296","99786.404","100791.162","102639.33","110703.063","108737.551","102041.609","103424.068","105213.564","106522.683","100596.811","104212.473","114942.115","121473.042","117090.977","112613.57","117021.304","121447.373","118609.115","123350.546","122547.473","129217.746","134677.909","137673.848","145488.225","141076.824","132631.723","123266.205","133126.768","156170.196","160951.964","174237.505","179738.005","191578.748","180654.755","179000.938","190034.941","","","","",
"Armenia","ARM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4052.035","2896.93","2966.603","3490.984","2607.237","3278.298","3406.643","3058.278","3465.315","3542.322","3043.61","3428.645","3644.998","4352.729","4382.065","5064.127","5559.172","4360.063","4217.05","4961.451","","","","",
"American Samoa","ASM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
